Date,Open,High,Low,Close,Volume
2020-11-24,0.4495,0.4495,0.401,0.41,129244
2020-11-25,0.405,0.44,0.405,0.41,111415
2020-11-27,0.41,0.42,0.3901,0.3901,92189
2020-11-30,0.46,0.46,0.3801,0.385,190534
2020-12-01,0.3625,0.415,0.3625,0.4,84115
2020-12-02,0.39,0.4,0.36,0.39,192773
2020-12-03,0.39,0.39,0.36,0.37,156346
2020-12-04,0.3995,0.3995,0.36,0.387,216800
2020-12-07,0.41,0.5,0.38,0.4199,700231
2020-12-08,0.42,0.45,0.391,0.3955,200908
2020-12-09,0.3905,0.4083,0.39,0.4,104313
2020-12-10,0.39,0.43,0.39,0.4,131656
2020-12-11,0.39,0.4166,0.39,0.39,101275
2020-12-14,0.37,0.4166,0.37,0.4,21653
2020-12-15,0.4,0.43,0.39,0.41,61204
2020-12-16,0.4,0.43,0.4,0.41,80283
2020-12-17,0.4246,0.4246,0.39,0.42,47741
2020-12-18,0.4246,0.4246,0.4,0.409,51935
2020-12-21,0.4246,0.4246,0.4,0.408,78183
2020-12-22,0.39,0.4246,0.39,0.4245,29288
2020-12-23,0.4225,0.43,0.4,0.4246,68805
2020-12-24,0.43,0.43,0.39,0.393,61338
2020-12-28,0.39,0.4246,0.39,0.4,70739
2020-12-29,0.4,0.42,0.39,0.4,59948
2020-12-30,0.42,0.42,0.38,0.3905,111310
2020-12-31,0.371,0.418,0.371,0.39,157811
2021-01-04,0.405,0.405,0.371,0.38,89054
2021-01-05,0.38,0.4,0.38,0.39,111696
2021-01-06,0.38,0.4,0.38,0.38,54590
2021-01-07,0.4,0.4,0.38,0.3806,125356
2021-01-08,0.38,0.4,0.37,0.385,98631
2021-01-11,0.38,0.42,0.38,0.38,168187
2021-01-12,0.38,0.39,0.38,0.3898,28635
2021-01-13,0.382,0.4,0.372,0.375,44047
2021-01-14,0.377,0.39,0.372,0.39,121696
2021-01-15,0.425,0.425,0.37,0.375,155772
2021-01-19,0.35,0.38,0.35,0.375,138711
2021-01-20,0.4025,0.4025,0.3305,0.38,150413
2021-01-21,0.39,0.39,0.375,0.375,61648
2021-01-22,0.385,0.385,0.375,0.375,23043
2021-01-25,0.375,0.385,0.3255,0.384,143737
2021-01-26,0.372,0.385,0.372,0.38,30293
2021-01-27,0.3698,0.397,0.34,0.3595,46971
2021-01-28,0.38,0.38,0.3595,0.38,86342
2021-01-29,0.37,0.38,0.36,0.38,118735
2021-02-01,0.387,0.387,0.365,0.37,91860
2021-02-02,0.387,0.387,0.365,0.37,98556
2021-02-03,0.37,0.38,0.3658,0.37,85363
2021-02-04,0.382,0.382,0.35,0.3658,104838
2021-02-05,0.38,0.382,0.35,0.36,35193
2021-02-08,0.385,0.385,0.34,0.378,57800
2021-02-09,0.375,0.38,0.37,0.37,58086
2021-02-10,0.385,0.4,0.36,0.395,176343
2021-02-11,0.395,0.4,0.36,0.375,61374
2021-02-12,0.41,0.41,0.35,0.38,142077
2021-02-16,0.405,0.405,0.365,0.37,71745
2021-02-17,0.38,0.395,0.365,0.39,143454
2021-02-18,0.4,0.4,0.365,0.4,38383
2021-02-19,0.36,0.4,0.36,0.38,62907
2021-02-22,0.4,0.4,0.36,0.3825,299716
2021-02-23,0.38,0.4,0.36,0.375,35050
2021-02-24,0.3655,0.391,0.3655,0.38,131763
2021-02-25,0.38,0.38,0.37,0.37,149528
2021-02-26,0.4,0.4,0.36,0.381,113075
